meal_names,meal_ingredients,meal_tags,meal_urls,meal_cousine_names,meal_images
Польский щавелевый суп по‑деревенски,"{'Мясной бульон': '1,5 л', 'Щавель': '300 г', 'Картофель': '2 штуки', 'Куриное яйцо': '6 штук', 'Сметана 20%-ная': '2 столовые ложки', 'Соль': 'на кончике ножа', 'Молотый черный перец': 'по вкусу'}","['Супы', 'Польская кухня']",https://eda.ru/recepty/supy/polskij-shhavelevij-sup-po-derevenski-45681,Польская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/140722210131/140729155647/p_O.jpg
Тушеная капуста со свининой по‑польски,"{'Свинина': '500 г', 'Полукопченая колбаса': '300 г', 'Белокочанная капуста': '500 г', 'Растительное масло': '1 столовая ложка', 'Квашеная капуста': '500 г', 'Черный перец горошком': '1 чайная ложка', 'Томатная паста': '1 столовая ложка', 'Лавровый лист': '2 штуки', 'Гвоздика': '1 чайная ложка', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу', 'Репчатый лук': '3 штуки', 'Чеснок': '4 зубчика'}","['Основные блюда', 'Польская кухня']",https://eda.ru/recepty/osnovnye-blyuda/tushenaja-kapusta-so-svininoj-po-polski-34061,Польская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/130619134157/131219205227/p_O.jpg
Салат по‑польски,"{'Помидоры': '500 г', 'Соленые огурцы': '200 г', 'Репчатый лук': '1 головка', 'Огурцы': '200 г', 'Куриное яйцо': '2 штуки', 'Сахар': '1 чайная ложка', 'Растительное масло': '50 мл', 'Зелень': '1 пучок', 'Соль': 'по вкусу', 'Кинза': 'по вкусу'}","['Салаты', 'Польская кухня']",https://eda.ru/recepty/salaty/salat-po-polski-22111,Польская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120213185949/120213190208/p_O.jpg
Суп с клецками на говяжьем бульоне,"{'Пшеничная мука': '1 стакан', 'Сливочное масло': '70 г', 'Куриное яйцо': '2 штуки', 'Петрушка': '1 пучок', 'Чеснок': '1 зубчик', 'Говядина с костями': '500 г', 'Репчатый лук': '2 головки', 'Морковь': '1 штука', 'Стебель сельдерея': '1 стебель', 'Черный перец горошком': 'по вкусу', 'Соль': 'по вкусу', 'Укроп': '1 пучок', 'Зеленый лук': 'по вкусу', 'Молотый черный перец': 'по вкусу'}","['Супы', 'Польская кухня']",https://eda.ru/recepty/supy/sup-s-kleckamsi-35065,Польская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/121208021522/121212172930/p_O.jpg
Бигос по‑польски,"{'Белокочанная капуста': '300 г', 'Квашеная капуста': '700 г', 'Копченая колбаса': '300 г', 'Свинина': '400 г', 'Вода': '300 мл', 'Замороженные белые грибы': '100 г', 'Красное сухое вино': '100 мл', 'Чернослив': '10 штук', 'Репчатый лук': '1 штука', 'Крахмал': '1 чайная ложка', 'Сахар': '¼ чайной ложки', 'Тмин': '2 столовые ложки', 'Растительное масло': '2 столовые ложки', 'Майоран': '2 столовые ложки', 'Бекон': '300 г', 'Кислые яблоки': '1 штука', 'Помидоры в собственном соку': '200 г', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу'}","['Основные блюда', 'Польская кухня']",https://eda.ru/recepty/osnovnye-blyuda/bigos-po-polski-34824,Польская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/160223102951/160228112716/p_O.jpg
Солянка по‑польски,"{'Мясные кости': '350 г', 'Свинина': '350 г', 'Курица': '¼ штуки', 'Корень петрушки': '1 штука', 'Корень сельдерея': '5 г', 'Оливковое масло': 'по вкусу', 'Корнишоны': '4 штуки', 'Квашеная капуста': '50 г', 'Маринованные огурцы': '5 штук', 'Маринованные грибы': '5 штук', 'Томатная паста': '½ столовой ложки', 'Репчатый лук': '1 головка', 'Чеснок': '2 зубчика', 'Базилик': 'по вкусу', 'Тимьян': 'по вкусу', 'Сметана': '3 столовые ложки', 'Лимон': '¾ штуки', 'Вареная колбаса': '40 г', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу', 'Зелень': 'по вкусу'}","['Супы', 'Польская кухня']",https://eda.ru/recepty/supy/soljanka-po-polski-17862,Польская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/150618164615/150623191004/p_O.jpg
Творожные кнедлики,"{'Творог': '250 г', 'Манная крупа': '20 г', 'Куриное яйцо': '1 штука', 'Ванилин': 'по вкусу', 'Клубника': 'по вкусу'}","['Основные блюда', 'Польская кухня']",https://eda.ru/recepty/osnovnye-blyuda/tvorozhnye-knedliki-44163,Польская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120131083434/140519163403/p_O.jpg
Суп с клецками и куриными рулетиками,"{'Чеснок': '6 зубчиков', 'Куриное филе': '300 г', 'Консервированные грибы': '250 г', 'Репчатый лук': '3 штуки', 'Сливочное масло': '50 г', 'Морковь': '1 штука', 'Куриный бульон': '3 л', 'Петрушка': '10 г', 'Укроп': '10 г', 'Зеленый лук': '15 г', 'Соль': '½ чайной ложки', 'Куриное яйцо': '1 штука', 'Растительное масло': '2 столовые ложки', 'Пшеничная мука': '300 г', 'Вода': '0,67 стакана'}","['Супы', 'Польская кухня']",https://eda.ru/recepty/supy/sup-s-kleckami-i-kurinimi-ruletikami-36393,Польская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120213180404/130318111036/p_O.jpg
Клецки,"{'Белый хлеб': '1 штука', 'Чеснок': '1 зубчик', 'Куриное яйцо': '1 штука', 'Петрушка': '2 стебля'}","['Закуски', 'Польская кухня']",https://eda.ru/recepty/zakuski/klecki-15887,Польская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120213175233/120213175319/p_O.jpg
Яблочный штрудель по‑польски,"{'Пшеничная мука': '1,5 стакана', 'Кефир': '½ стакана', 'Антоновские яблоки': '8 штук', 'Куриное яйцо': '1 штука', 'Сливочное масло': '10 г', 'Сахарная пудра': '6 столовых ложек', 'Подсолнечное масло': '1 столовая ложка'}","['Выпечка и десерты', 'Польская кухня']",https://eda.ru/recepty/vypechka-deserty/jablochnij-shtrudel-po-polski-18698,Польская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120213181135/120213181349/p_O.jpg
Крем из зефира,"{'Зефир': '2 штуки', 'Сливочное масло': '100 г'}","['Выпечка и десерты', 'Польская кухня']",https://eda.ru/recepty/vypechka-deserty/krem-iz-zefira-44393,Польская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/140518204129/140523154606/p_O.jpg
Яблочная шарлотка,"{'Белый хлеб': '225 г', 'Сливочное масло': '45 г', 'Яблоко': '1,299 кг', 'Сахар': '270 г', 'Кукурузная мука': '2 чайные ложки', 'Молоко': '1,2 л', 'Куриное яйцо': '5 штук', 'Корица': '1 чайная ложка', 'Ванильная эссенция': '1,5 чайные ложки'}","['Выпечка и десерты', 'Польская кухня']",https://eda.ru/recepty/vypechka-deserty/jablochnaja-sharlotka-15858,Польская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120213175233/1202131753122/p_O.jpg
Шоколадный суп,"{'Молоко': '125 мл', 'Горький шоколад': '125 г', 'Сливки 40%-ные': '65 мл', 'Сахар': '25 г', 'Куриное яйцо': '4 штуки', 'Сливки 25%-ные': '100 мл'}","['Выпечка и десерты', 'Польская кухня']",https://eda.ru/recepty/vypechka-deserty/shokoladnij-sup-17557,Польская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120131085017/120213180101/p_O.jpg
Колбаса жареная с капустой,"{'Копченая колбаса': '300 г', 'Молотый черный перец': 'по вкусу', 'Белокочанная капуста': '500 г', 'Соль': 'по вкусу', 'Зелень': 'по вкусу', 'Растительное масло': '2 столовые ложки'}","['Закуски', 'Польская кухня']",https://eda.ru/recepty/zakuski/kolbasa-zharenaja-s-kapustoj-14595,Польская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120213174921/120213174946/p_O.jpg
Томатный суп с рисом и зеленью,"{'Телятина': '500 г', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу', 'Лавровый лист': '1 штука', 'Рис': '100 г', 'Помидоры': '200 г', 'Репчатый лук': '1 головка', 'Зелень': '50 г', 'Растительное масло': '50 мл', 'Сметана': '50 г'}","['Супы', 'Польская кухня']",https://eda.ru/recepty/supy/tomatnij-sup-s-risom-zelenju-22623,Польская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120131082141/120214123710/p_O.jpg
Журек — традиционный польский суп на ржаной…,"{'Чеснок': '3 зубчика', 'Черный перец горошком': 'по вкусу', 'Ржаная мука': '10 столовых ложек', 'Вода': '500 мл', 'Лавровый лист': '3 штуки', 'Ржаной хлеб': '40 г', 'Репчатый лук': '4 штуки', 'Свиная колбаса': '500 г', 'Картофель': '5 штук', 'Морковь': '2 штуки', 'Сметана 20%-ная': '500 г', 'Куриное яйцо': '8 штук', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу', 'Зелень': 'по вкусу', 'Душистый перец горошком': 'по вкусу'}","['Супы', 'Польская кухня']",https://eda.ru/recepty/supy/zhurek-tradicionnyy-polskiy-sup-na-rzhanoy-zakvaske-125987,Польская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120214154946/181025133354/p_O.jpg
Сладкий пирог с орехами и клюквой,"{'Сметана': '200 г', 'Соль': 'щепотка', 'Сахар': '200 г', 'Сода': '½ чайной ложки', 'Пшеничная мука': '2 стакана', 'Грецкие орехи': '100 г', 'Сушеная клюква': '100 г', 'Куриное яйцо': '3 штуки'}","['Выпечка и десерты', 'Польская кухня']",https://eda.ru/recepty/vypechka-deserty/sladkij-pirog-s-orehami-kljukvoj-22573,Польская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/110805134417/120214123707/p_O.jpg
Варшавский яблочный пирог с творогом,"{'Яблоко': '6 штук', 'Манная крупа': '1 стакан', 'Пшеничная мука': '1 стакан', 'Сахар': '1 стакан', 'Разрыхлитель': '1 чайная ложка', 'Лимон': '1 штука', 'Сливочное масло': '100 г', 'Корица': 'по вкусу', 'Творог': '250 г', 'Сметана': '100 г', 'Ванилин': 'по вкусу'}","['Выпечка и десерты', 'Польская кухня']",https://eda.ru/recepty/vypechka-deserty/varshavskiy-yablochnyy-pirog-s-tvorogom-46328,Польская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120304025019/140905201934/p_O.jpg
"Перцы, фаршированные кускусом","{'Куриный бульон': '250 мл', 'Кускус': '150 г', 'Сладкий перец': '4 штуки', 'Репчатый лук': '1 головка', 'Оливковое масло': '2 столовые ложки', 'Цукини': '1 штука', 'Помидоры черри': '200 г', 'Душица': '½ чайной ложки', 'Петрушка': '40 г', 'Соль': 'по вкусу', 'Сыр фета': '200 г', 'Молотый черный перец': 'по вкусу'}","['Пошаговые рецепты', 'Закуски', 'Авторская кухня']",https://eda.ru/recepty/zakuski/perci-farshirovannie-kuskusom-20762,Авторская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/150601195902/150609145346/p_O.jpg
Запеченный говяжий край,"{'Говядина': '1,5 кг', 'Репчатый лук': '1 головка', 'Морковь': '1 штука', 'Сельдерей': '1 стебель', 'Букет гарни': '1 пучок', 'Соль': 'по вкусу', 'Растительное масло': '50 мл', 'Молотый черный перец': 'по вкусу'}","['Пошаговые рецепты', 'Основные блюда', 'Авторская кухня']",https://eda.ru/recepty/osnovnye-blyuda/zapechennij-govjazhij-kraj-17670,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/130829212936/130904181052/p_O.jpg
Путин,"{'Картофель': '4 штуки', 'Говяжий бульон': '750 мл', 'Кукурузный крахмал': '2 чайные ложки', 'Вода': '30 мл', 'Сливочное масло': '90 г', 'Пшеничная мука': '50 г', 'Чеснок': '2 зубчика', 'Сыр чеддер': '100 г', 'Масло для фритюра': '1,5 л', 'Свежемолотый черный перец': 'по вкусу', 'Соль': 'по вкусу'}","['Пошаговые рецепты', 'Закуски', 'Авторская кухня']",https://eda.ru/recepty/zakuski/putin-81329,Авторская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120130134327/161212124107/p_O.jpg
Клубничный сорбет,"{'Клубника': '300 г', 'Лимон': '1 штука', 'Сахар': '75 г', 'Мята': '2 стебля'}","['Пошаговые рецепты', 'Выпечка и десерты', 'Авторская кухня']",https://eda.ru/recepty/vypechka-deserty/klubnichnij-sorbet-28056,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/150601195903/150610153406/p_O.jpg
Глинтвейн с медом и имбирем,"{'Красное сухое вино': '¾ л', 'Вода': '¾ л', 'Яблоко': '2 штуки', 'Апельсины': '2 штуки', 'Мед': '100 г', 'Корица': 'по вкусу', 'Гвоздика': 'по вкусу', 'Анис (бадьян)': 'по вкусу', 'Кардамон': 'по вкусу', 'Мускатный орех': 'по вкусу', 'Имбирь': 'по вкусу', 'Каркаде': 'щепотка', 'Черный чай': 'щепотка'}","['Пошаговые рецепты', 'Напитки', 'Авторская кухня']",https://eda.ru/recepty/napitki/glintvejn-s-medom-imbirem-30312,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/DefaultRecipePhoto/no-photo.png
Шаверма с корюшкой,"{'Корюшка': '300 г', 'Чесночное масло': '1 столовая ложка', 'Огурцы': '150 г', 'Помидоры': '150 г', 'Красный лук': '150 г', 'Белокочанная капуста': '150 г', 'Салат айсберг': '150 г', 'Греческий йогурт': '250 г', 'Соленые огурцы': '150 г', 'Молотый кориандр': 'по вкусу', 'Кайенский перец': 'по вкусу', 'Карри': 'по вкусу', 'Растительное масло': '50 мл', 'Соль': 'по вкусу', 'Кинза': '20 г', 'Перец чили': '20 г'}","['Пошаговые рецепты', 'Сэндвичи', 'Авторская кухня']",https://eda.ru/recepty/sendvichi/shaverma-s-koryushkoy-125315,Авторская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120213180404/180517133002/p_O.jpg
Гороховый суп с ананасом,"{'Свиной копченый окорок': '800 г', 'Зеленый горошек': '2 кг', 'Репчатый лук': '120 г', 'Сливочное масло': '100 г', 'Стебель сельдерея': '2 штуки', 'Ананас': '250 г', 'Белый винный уксус': '106 мл', 'Сахар': '65 г', 'Яичный порошок': '15 г', 'Соль': '40 г'}","['Пошаговые рецепты', 'Супы', 'Авторская кухня']",https://eda.ru/recepty/supy/gorohovij-sup-33827,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120213183611/180704145546/p_O.jpg
Запеченный топинамбур с луковым соусом,"{'Топинамбур': '400 г', 'Репчатый лук': '3 головки', 'Тимьян': '3 веточки', 'Сливочное масло': '60 г', 'Оливковое масло': '100 мл', 'Белое сухое вино': '150 мл', 'Сливки': '300 мл', 'Лук-сибулет': '5 г', 'Соль': 'по вкусу', 'Сахар': 'по вкусу', 'Черный дробленый перец': 'по вкусу'}","['Пошаговые рецепты', 'Основные блюда', 'Авторская кухня', 'Вегетарианская еда']",https://eda.ru/recepty/osnovnye-blyuda/zapechennyy-topinambur-s-lukovym-sousom-126165,Авторская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120504214259/181129124944/p_O.jpg
Оливье с копченой рыбой и камчатским крабом,"{'Копченый лосось': '250 г', 'Консервированный зеленый горошек': '100 г', 'Морковь': '100 г', 'Картофель': '100 г', 'Соленые огурцы': '150 г', 'Куриное яйцо': '5 штук', 'Майонез': '150 г', 'Соль': 'по вкусу', 'Красная икра': '25 г', 'Зеленый лук': '50 г', 'Салат фризе': '10 г', 'Огурцы': '75 г', 'Крабы': '25 г', 'Бальзамический крем': 'по вкусу'}","['Пошаговые рецепты', 'Салаты', 'Авторская кухня']",https://eda.ru/recepty/salaty/olive-s-kopchenoj-riboj-i-kamchatskim-krabom-55912,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/151212225533/151222191758/p_O.jpg
"Салат из курицы с ананасами, грибами и сыром","{'Филе куриной грудки': '1 штука', 'Шампиньоны': '300 г', 'Куриное яйцо': '3 штуки', 'Сыр': '200 г', 'Репчатый лук': '1 головка', 'Чеснок': '2 зубчика', 'Консервированный ананас': '1 банка', 'Майонез': 'по вкусу'}","['Пошаговые рецепты', 'Салаты', 'Авторская кухня']",https://eda.ru/recepty/salaty/salat-iz-kurici-s-ananasami-gribami-i-sirom-46944,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/170215020725/201215175406/p_O.jpg
Зубатка в сливочном соусе,"{'Зубатка': '500 г', 'Сливки': '750 мл', 'Рыбный бульон': '1 л', 'Соль': '5 столовых ложек', 'Сухие водоросли нори': '5 г', 'Молотый белый перец': 'по вкусу', 'Растительное масло': '50 мл'}","['Пошаговые рецепты', 'Основные блюда', 'Авторская кухня']",https://eda.ru/recepty/osnovnye-blyuda/zubatka-v-slivochnom-souse-51190,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/130427191156/150630142853/p_O.jpg
Цветная капуста c соусом тхина,"{'Цветная капуста': '1 штука', 'Оливковое масло': '50 мл', 'Тахини': '3 столовые ложки', 'Натуральный йогурт': '150 г', 'Кинза': '20 г', 'Лимонный сок': '2 столовые ложки', 'Чеснок': '1 зубчик', 'Молотый черный перец': 'по вкусу', 'Соль': 'по вкусу'}","['Пошаговые рецепты', 'Закуски', 'Авторская кухня', 'Вегетарианская еда']",https://eda.ru/recepty/zakuski/cvetnaya-kapusta-c-sousom-thina-140218,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/110804134510/201202135053/p_O.jpg
Морковный кекс с грецкими орехами,"{'Куриное яйцо': '100 г', 'Сахар': '75 г', 'Тростниковый сахар': '75 г', 'Пшеничная мука': '130 г', 'Сода': '3,5 г', 'Разрыхлитель': '7,5 г', 'Соль': '2 г', 'Корица': '2 г', 'Кислота лимонная': '2 г', 'Масло из виноградных косточек': '120 мл', 'Грецкие орехи': '75 г', 'Морковь': '170 г'}","['Пошаговые рецепты', 'Выпечка и десерты', 'Авторская кухня']",https://eda.ru/recepty/vypechka-deserty/morkovnyy-keks-s-greckimi-orehami-139923,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/141203013729/200929113114/p_O.jpg
Горячие бутерброды с картофелем и сыром,"{'Батон': '1 штука', 'Зеленый лук': '3 штуки', 'Кардамон': 'щепотка', 'Картофельное пюре': '200 г', 'Куриное яйцо': '1 штука', 'Твердый сыр': '200 г', 'Жирная сметана': '2 столовые ложки', 'Майонез': '4 столовые ложки', 'Растительное масло': 'по вкусу', 'Укроп': '2 веточки', 'Свежая мята': '2 веточки', 'Соль': 'по вкусу'}","['Пошаговые рецепты', 'Сэндвичи', 'Авторская кухня']",https://eda.ru/recepty/sendvichi/goryachie-buterbrody-s-kartofelem-i-syrom-151011,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/170302230926/210601145700/p_O.jpg
Курица со сливами,"{'Куриные окорочка': '6 штук', 'Красные сливы': '1 кг', 'Апельсиновый сок': '500 мл', 'Оливковое масло': '50 мл', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу', 'Молотый имбирь': 'по вкусу', 'Чеснок': '6 зубчиков'}","['Пошаговые рецепты', 'Основные блюда', 'Авторская кухня']",https://eda.ru/recepty/osnovnye-blyuda/kurica-so-slivami-151100,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/170218120301/210621163251/p_O.jpg
Вегетарианские конвертики из лаваша с грибами и…,"{'Тонкий лаваш': '1 штука', 'Помидоры': '1 штука', 'Сыр сулугуни': '100 г', 'Зеленый лук': '20 г', 'Базилик': '3 веточки', 'Петрушка': '5 веточек', 'Куриное яйцо': '1 штука', 'Натуральный йогурт': '100 г', 'Хмели-сунели': 'щепотка', 'Чеснок': '2 зубчика', 'Растительное масло': 'по вкусу', 'Соль': 'по вкусу', 'Шампиньоны': '100 г'}","['Пошаговые рецепты', 'Сэндвичи', 'Авторская кухня']",https://eda.ru/recepty/sendvichi/vegetarianskie-konvertiki-iz-lavasha-s-gribami-i-suluguni-151014,Авторская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/170302230926/210601151924/p_O.jpg
Вегетарианские котлеты из киноа,"{'Киноа': '70 г', 'Консервированный нут': '200 г', 'Чеснок': '2 зубчика', 'Репчатый лук': '1 головка', 'Вешенки': '70 г', 'Тахини': '1 чайная ложка', 'Лимонный сок': '1 столовая ложка', 'Петрушка': '2 веточки', 'Кинза': '2 веточки', 'Растительное масло': '40 мл', 'Кукурузная мука': 'по вкусу', 'Айвар': 'по вкусу', 'Соевый йогурт': 'по вкусу'}","['Пошаговые рецепты', 'Основные блюда', 'Авторская кухня', 'Постная еда']",https://eda.ru/recepty/osnovnye-blyuda/vegetarianskie-kotlety-iz-kinoa-140772,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/170304161224/210330194224/p_O.jpg
Ленивые вареники с картошкой и сливочным соусом…,"{'Картофель': '250 г', 'Куриное яйцо': '2 штуки', 'Яичный желток': '1 штука', 'Пшеничная мука': '150 г', 'Сливки 33%-ные': '100 мл', 'Шпинат': '50 г', 'Устричный соус': '20 мл', 'Молотый сушеный чеснок': '2 г', 'Мускатный орех': '1 г', 'Крабы': '90 г', 'Растительное масло': 'по вкусу', 'Молотый фундук': 'по вкусу', 'Соль': 'по вкусу'}","['Пошаговые рецепты', 'Основные блюда', 'Авторская кухня']",https://eda.ru/recepty/osnovnye-blyuda/lenivye-vareniki-s-kartoshkoy-i-slivochnym-sousom-s-krabom-140774,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/170304161224/210330202055/p_O.jpg
Суп из красной рыбы с яблоками,"{'Листья кинзы (кориандра)': '½ пучка', 'Головизна красных рыб': '1 штука', 'Хвост лосося': '1 штука', 'Яблоко': '2 штуки', 'Морковь': '4 штуки', 'Репчатый лук': '2 головки', 'Помидоры': '3 штуки', 'Сельдерей': '1 пучок', 'Маринованные каперсы': '2 столовые ложки', 'Водка': '50 мл', 'Лимонный сок': '50 мл', 'Сахар': '2 столовые ложки', 'Молотый черный перец': 'по вкусу', 'Лавровый лист': '3 штуки', 'Приправа «Вегетта»': '1 столовая ложка'}","['Пошаговые рецепты', 'Супы', 'Авторская кухня']",https://eda.ru/recepty/supy/sup-iz-krasnoj-ribi-s-jablokami-30305,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120131082141/130725164227/p_O.jpg
Яблочная горчица,"{'Яблоко': '1 кг', 'Сахар': '300 г', 'Вода': '200 мл', 'Дижонская горчица': '42 г', 'Агар-агар': '2 г', 'Белый винный уксус': '240 мл'}","['Пошаговые рецепты', 'Заготовки', 'Авторская кухня', 'Вегетарианская еда']",https://eda.ru/recepty/zagotovki/yablochnaya-gorchica-151136,Авторская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/140416134740/210630111001/p_O.jpg
Цветная капуста по‑итальянски от Джейми Оливера,"{'Цветная капуста': '1 штука', 'Репчатый лук': '3 головки', 'Анчоусы': '6 штук', 'Чеснок': '3 зубчика', 'Оливки': '6 штук', 'Белое сухое вино': '500 мл', 'Шафран': 'щепотка'}","['Пошаговые рецепты', 'Закуски', 'Авторская кухня']",https://eda.ru/recepty/zakuski/cvetnaya-kapusta-po-italyanski-ot-dzheymi-olivera-140219,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/110816122021/201202135607/p_O.jpg
Кофе с пряностями,"{'Анис (бадьян)': '1 штука', 'Кардамон': '4 штуки', 'Обжареные зерна кофе': '2 столовые ложки', 'Корица': '½ чайной ложки', 'Сахар': '1 столовая ложка'}","['Завтраки', 'Напитки', 'Авторская кухня']",https://eda.ru/recepty/zavtraki/kofe-s-prjanostjami-20730,Авторская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120213175233/120213184102/p_O.jpg
Масляная рыба с корнеплодами,"{'Филе масляной рыбы': '500 г', 'Топинамбур': '5 штук', 'Мини картофель': '20 штук', 'Козлобородник': '5 штук', 'Сливочное масло': '30 г', 'Миндаль': '175 г', 'Цветная капуста': '200 г', 'Шпинат': '200 г', 'Оливковое масло': '45 мл', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу'}","['Пошаговые рецепты', 'Закуски', 'Авторская кухня']",https://eda.ru/recepty/zakuski/masljanaja-riba-s-korneplodami-43005,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/140111190442/140403153739/p_O.jpg
Цветная капуста под шубой из рикотты,"{'Чеснок': '1 головка', 'Розмарин': '2 веточки', 'Оливковое масло': '70 мл', 'Цветная капуста': '1 штука', 'Белое сухое вино': '250 мл', 'Бульон': '350 мл', 'Лимон': '1 штука', 'Сливочное масло': '50 кг', 'Перец чили хлопьями': '1 столовая ложка', 'Лавровый лист': '2 штуки', 'Мускатный орех': 'щепотка', 'Тертый сыр пармезан': '120 столовых ложек', 'Сыр рикотта': '200 г', 'Цельное молоко': '75 мл', 'Копченый бекон': '30 г', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу'}","['Пошаговые рецепты', 'Закуски', 'Авторская кухня']",https://eda.ru/recepty/zakuski/cvetnaya-kapusta-pod-shuboy-iz-rikotty-140220,Авторская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/170215020725/201202140412/p_O.jpg
"Тыква, фаршированная сладким пловом","{'Тыква': '2 кг', 'Круглый рис': '1 стакан', 'Сливочное масло': '70 г', 'Изюм': '190 г', 'Кедровые орехи': '70 г', 'Сахар': '1 столовая ложка', 'Яблоко': '1 штука', 'Молотая корица': '1 чайная ложка', 'Соль': 'по вкусу'}","['Основные блюда', 'Авторская кухня']",https://eda.ru/recepty/osnovnye-blyuda/tikva-farshirovannaja-sladkim-plovom-20760,Авторская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/131004132748/131022144041/p_O.jpg
Мини-чебуреки с ягненком и карри,"{'Лопатка ягненка': '500 г', 'Лавровый лист': '1 штука', 'Соль': 'по вкусу', 'Черный перец горошком': '1 г', 'Пшеничная мука': '550 г', 'Вода': '300 мл', 'Растительное масло': '30 мл', 'Карри-порошок': '2 г', 'Чеснок': '4 г', 'Красный перец чили': '4 г', 'Приправа аджиномото': '1 г', 'Куриный бульонный кубик': '5 г', 'Устричный соус': '15 мл', 'Кунжутное масло': '4 мл', 'Кинза': '10 г', 'Лук-шалот': '50 г', 'Куриное яйцо': '1 штука', 'Лист бамбука': '10 штук', 'Масло для фритюра': '1 л', 'Йогурт': 'по вкусу'}","['Пошаговые рецепты', 'Закуски', 'Авторская кухня']",https://eda.ru/recepty/zakuski/mini-chebureki-s-yagnenkom-i-karri-140624,Авторская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/170302231109/210310133059/p_O.jpg
Коктейль «Форрест Гамп»,"{'Щавель': '40 г', 'Тростниковый сахар': '1 чайная ложка', 'Водка': '50 мл', 'Цветочный мед': '10 г', 'Лед': 'по вкусу'}","['Напитки', 'Авторская кухня']",https://eda.ru/recepty/napitki/koktejl-forrest-gamp-18567,Авторская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/150307165038/150609134448/p_O.jpg
